BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
1128,020700001001128,103.0,,,,272.7449836730957,277.071533203125,268.89544067382815
1034,020700002001034,103.0,,,,272.1748727321625,276.4219240278005,268.4015304654837
1005,020700002001005,103.0,,,,271.90222651163737,275.93690338134763,268.2708023071289
1040,020700002001040,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1003,020700001001003,103.0,,,,269.63653226420325,273.043140147314,266.8117292177302
1237,020700001001237,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1083,020700001001083,103.0,,,,270.5476398611231,274.4769087865193,267.16133003553267
1235,020700001001235,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1023,020700002001023,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1031,020700002001031,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1030,020700002001030,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1164,020700001001164,103.0,,,,272.9584031041419,277.38188169891646,269.27244183402144
1134,020700001001134,103.0,,,,271.14602352100303,274.64953341685253,267.9013089518184
1093,020700001001093,103.0,,,,270.5950406392416,274.4837951660156,267.2441604614258
1176,020700001001176,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1212,020700001001212,103.0,,,,271.32224604288734,275.186572265625,267.7638397216797
1252,020700001001252,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1129,020700001001129,103.0,,,,272.7449836730957,277.071533203125,268.89544067382815
1210,020700001001210,103.0,,,,271.32224604288734,275.186572265625,267.7638397216797
1019,020700002001019,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1169,020700001001169,103.0,,,,272.9599137053943,277.23984007459404,269.3206971162383
1055,020700001001055,103.0,,,,272.13512852986656,276.1628448486328,268.63919219970705
1245,020700001001245,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1001,020700002001001,104.0,,,,271.67972895304365,276.3384048461914,267.5492172241211
1018,020700002001018,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1251,020700001001251,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1015,020700002001015,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1227,020700001001227,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
1223,020700001001223,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
1022,020700002001022,104.0,,,,271.96621949566696,276.86363869429607,267.69956141731103
1021,020700002001021,104.0,,,,271.9588712056478,276.95330505371095,267.6338363647461
1248,020700001001248,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1079,020700001001079,104.0,,,,270.2225209373784,274.13777050381685,266.7495172483285
1226,020700001001226,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
1232,020700001001232,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1240,020700001001240,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1010,020700002001010,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1033,020700002001033,104.0,,,,272.1965681936227,276.76351325988776,268.1212054129208
1178,020700001001178,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1092,020700001001092,104.0,,,,271.2378100077311,275.3023986816406,267.7241180419922
1136,020700001001136,104.0,,,,271.0602953592936,275.2520523071289,267.32508544921876
1211,020700001001211,104.0,,,,271.4114672342936,275.63159942626953,267.61234588623046
1011,020700002001011,104.0,,,,271.90439473280713,276.83207055831747,267.6177833613329
1024,020700002001024,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1131,020700001001131,104.0,,,,271.0873091618572,275.4075633543636,267.2621696332282
1038,020700002001038,104.0,,,,271.67972895304365,276.3384048461914,267.5492172241211
1256,020700001001256,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1026,020700002001026,104.0,,,,272.19560865578075,276.85733012747255,268.0765129251683
1175,020700001001175,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1120,020700001001120,104.0,,,,272.5284718862987,277.885907493881,267.8431752052338
1086,020700001001086,104.0,,,,270.9096615188182,274.7969404636505,267.6988911568915
1141,020700001001141,104.0,,,,271.099758529187,275.3543749744972,267.32218058761157
1009,020700002001009,104.0,,,,271.6831821606231,276.34473029789535,267.5508959965799
1228,020700001001228,104.0,,,,272.5054695129395,277.9547836303711,267.71095809936526
1238,020700001001238,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1039,020700002001039,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1000,020700002001000,104.0,,,,271.72519610743376,276.46084335310366,267.55441710845076
1236,020700001001236,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1239,020700001001239,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1224,020700001001224,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
